#WAVELENGTH FLUX
1.424261860565748066e+03 1.442407389856113526e-15
1.424341587272472680e+03 1.350913855509019393e-15
1.424421313979197294e+03 1.537164078927835448e-15
1.424501040686387569e+03 1.396316628044307707e-15
1.424580767393112183e+03 1.654295844750439158e-15
1.424660494099836797e+03 1.826796102927137351e-15
1.424740220807027072e+03 1.582762880033409029e-15
1.424819947513751686e+03 1.805381826236237956e-15
1.424899674220476300e+03 1.755207392854266047e-15
1.424979400927200913e+03 1.003303554544516155e-15
1.425059127634391189e+03 6.476579905039901409e-16
1.425138854341115803e+03 5.450860442041516317e-16
1.425218581047840416e+03 4.080319548946713796e-16
1.425298307754565030e+03 5.729466347412423679e-16
1.425378034461755306e+03 5.266714017266698735e-16
1.425457761168479919e+03 2.269764840389215237e-16
1.425537487875204533e+03 2.962131662173878562e-16
1.425617214582394809e+03 3.890132548826811881e-16
1.425696941289119422e+03 5.743471904846375527e-16
1.425776667995844036e+03 1.064535410791574366e-15
1.425856394702568650e+03 6.917713646537787585e-16
1.425936121409758925e+03 1.065989395785095576e-15
1.426015848116483539e+03 8.819245173701956164e-16
1.426095574823208153e+03 1.349041727407130178e-15
1.426175301529932767e+03 1.440558819858069820e-15
1.426255028237123042e+03 1.206830229223722893e-15
1.426334754943847656e+03 1.137233449475218085e-15
1.426414481650572270e+03 9.236979059277319632e-16
1.426494208357762545e+03 1.038853153455142266e-15
1.426573935064021498e+03 1.276328607566558392e-15
1.426653661770746112e+03 1.021196437340993605e-15
1.426733388477936387e+03 2.477213404172843106e-16
1.426813115184661001e+03 5.794775565495935426e-17
1.426892841891385615e+03 -1.462149266167108309e-17
1.426972568598110229e+03 3.174911014162571263e-17
1.427052295305300504e+03 -3.759280450680354407e-17
1.427132022012025118e+03 -1.088288775583761412e-17
1.427211748718749732e+03 -9.923345010386301168e-18
1.427291475425940007e+03 1.279682859692046647e-17
1.427371202132664621e+03 1.160581383270690840e-17
1.427450928839389235e+03 -3.666309320296334351e-17
1.427530655546113849e+03 -1.191580059444176807e-17
1.427610382253304124e+03 -1.436841054940589012e-17
1.427690108960028738e+03 1.267951862826977801e-16
1.427769835666753352e+03 3.331061951579207807e-17
1.427849562373477966e+03 2.204941293130557875e-16
1.427929289080668241e+03 1.022262378674276389e-15
1.428009015787392855e+03 1.615511387309579472e-15
1.428088742494117469e+03 1.685827546184486946e-15
1.428168469201307744e+03 1.472932074994994357e-15
1.428248195908032358e+03 1.334336123712052252e-15
1.428327922614756972e+03 1.499105393065152238e-15
1.428407649321481586e+03 1.614185261277701808e-15
1.428487376028671861e+03 1.758223637474769208e-15
1.428567102735396475e+03 1.545820980641901012e-15
1.428646829442121089e+03 1.404083503271600915e-15
1.428726556148845702e+03 9.531429086089942800e-16
1.428806282856035978e+03 1.094452875877669821e-15
1.428886009562760592e+03 1.548328118756434936e-15
1.428965736269485205e+03 1.592952474630641448e-15
1.429045462976675481e+03 1.634921143987189314e-15
1.429125189683400095e+03 1.325067445834387370e-15
1.429204916390124708e+03 1.560934569667424791e-15
1.429284643096849322e+03 1.345193067775157753e-15
1.429364369804039598e+03 1.517653495551000292e-15
1.429444096510764211e+03 1.922126564176395455e-15
1.429523823217488825e+03 1.611288474772541105e-15
1.429603549924213439e+03 1.893294290570798118e-15
1.429683276631403714e+03 1.951098240876265129e-15
1.429763003338128328e+03 1.594698560259512284e-15
1.429842730044852942e+03 1.838160876329346307e-15
1.429922456752043217e+03 1.754936209962246663e-15
1.430002183458767831e+03 2.394410337701891327e-15
1.430081910165492445e+03 1.706384413774528176e-15
1.430161636872217059e+03 1.667838908960300357e-15
1.430241363579407334e+03 1.647410856552690786e-15
1.430321090286131948e+03 1.910329473098841785e-15
1.430400816992856562e+03 1.561967824131621930e-15
1.430480543699581176e+03 1.317413232606523885e-15
1.430560270406771451e+03 1.624592583047047986e-15
1.430639997113030404e+03 1.783458734206944942e-15
1.430719723820220679e+03 1.923693111907672881e-15
1.430799450526945293e+03 1.118312559848349532e-15
1.430879177233669907e+03 1.516709086902036249e-15
1.430958903940394521e+03 1.088182664854783110e-15
1.431038630647584796e+03 1.114041336654815619e-15
1.431118357354309410e+03 1.762975227611069816e-15
1.431198084061034024e+03 1.525601754943014128e-15
1.431277810767758638e+03 1.743778959632115010e-15
1.431357537474948913e+03 1.840563194116657511e-15
1.431437264181673527e+03 1.818968836897682872e-15
1.431516990888398141e+03 2.009474997212312860e-15
1.431596717595588416e+03 1.766219009765751614e-15
1.431676444302313030e+03 1.619079616170284168e-15
1.431756171009037644e+03 1.884897560320437633e-15
1.431835897715762258e+03 1.806960695649919972e-15
1.431915624422952533e+03 1.374740084987005010e-15
1.431995351129677147e+03 1.569600464489110032e-15
1.432075077836401761e+03 1.759319592229397866e-15
1.432154804543126374e+03 1.709775172689170845e-15
1.432234531250316650e+03 1.714069437825848036e-15
1.432314257957041264e+03 1.350573030626867944e-15
1.432393984663765877e+03 1.303849303592891648e-15
1.432473711370956153e+03 1.112334396521253243e-15
1.432553438077680767e+03 4.661382053860311007e-16
1.432633164784405380e+03 4.905047484129557426e-16
1.432712891491129994e+03 3.223198476513742305e-16
1.432792618198320270e+03 2.283119596932628739e-16
1.432872344905044883e+03 6.665436612619180231e-16
1.432952071611769497e+03 4.708752143960839301e-16
1.433031798318494111e+03 1.215302861567091244e-15
1.433111525025684386e+03 1.370627429008175062e-15
1.433191251732409000e+03 1.300212819096761526e-15
1.433270978439133614e+03 1.238041434566353335e-15
1.433350705146323889e+03 1.213284223235106636e-15
1.433430431853048503e+03 1.391196810186522994e-15
1.433510158559773117e+03 1.439422750152454791e-15
1.433589885266497731e+03 1.198494478728119817e-15
1.433669611973688006e+03 6.183790120706539548e-16
1.433749338680412620e+03 3.944644098609913677e-17
1.433829065387137234e+03 6.563907496433104927e-17
1.433908792093861848e+03 -6.062122159270421588e-18
1.433988518801052123e+03 1.836012238292292865e-17
1.434068245507776737e+03 1.982710693336071568e-17
1.434147972214501351e+03 -2.276057972586875793e-18
1.434227698921691626e+03 7.166234382984439573e-17
1.434307425628416240e+03 -1.386422121858797455e-18
1.434387152335140854e+03 4.584776282441249389e-17
1.434466879041865468e+03 9.598907361991109473e-17
1.434546605749055743e+03 4.568789404101467651e-17
1.434626332455780357e+03 1.976378377592794375e-17
1.434706059162504971e+03 -7.420795266710208900e-18
1.434785785869229585e+03 6.459982013197045125e-17
1.434865512575954199e+03 8.816775129674811568e-17
1.434945239282678813e+03 6.674832888069415093e-16
1.435024965989869088e+03 8.123888298730115251e-16
1.435104692696593702e+03 7.387259544879961541e-16
1.435184419403318316e+03 1.422651104058848069e-15
1.435264146110042930e+03 1.755680831332221998e-15
1.435343872817233205e+03 1.711506924932387362e-15
1.435423599523957819e+03 1.752048926107962969e-15
1.435503326230682433e+03 1.192531055759539222e-15
1.435583052937407047e+03 1.501931551580890713e-15
1.435662779644597322e+03 1.653226161252065185e-15
1.435742506351321936e+03 1.777325117172970338e-15
1.435822233058046550e+03 1.452636120022487054e-15
1.435901959765236825e+03 9.008049810261674773e-16
1.435981686471961439e+03 3.488685531048081695e-16
1.436061413178686053e+03 2.450523160258385525e-16
1.436141139885410666e+03 3.474464418618304654e-16
1.436220866592600942e+03 8.356513535479254234e-16
1.436300593299325556e+03 1.045484293157787915e-15
1.436380320006050169e+03 1.986022269559396987e-15
1.436460046712774783e+03 1.388312954168697720e-15
1.436539773419965059e+03 1.699945335483949989e-15
1.436619500126689672e+03 1.558091228956002365e-15
1.436699226833414286e+03 8.949119577451600461e-16
1.436778953540604562e+03 3.703632846908069220e-16
1.436858680247329175e+03 9.954334703378334810e-16
1.436938406954053789e+03 1.203782409464877357e-15
1.437018133660778403e+03 1.478209599799645981e-15
1.437097860367968678e+03 1.549597265278997496e-15
1.437177587074693292e+03 1.415507314208489005e-15
1.437257313781417906e+03 1.137765366313759084e-15
1.437337040488142520e+03 8.929106471926471990e-16
1.437416767195332795e+03 8.958016368160751303e-16
1.437496493902057409e+03 1.102539529203608678e-15
1.437576220608782023e+03 1.211003626729293835e-15
1.437655947315972298e+03 1.694925619715173992e-15
1.437735674022696912e+03 1.724471809746408696e-15
1.437815400729421526e+03 1.551374333784892118e-15
1.437895127436146140e+03 1.444271226299542510e-15
1.437974854143336415e+03 1.759091568313019048e-15
1.438054580850061029e+03 1.990424994617992130e-15
1.438134307556785643e+03 2.104896560825515105e-15
1.438214034263510257e+03 1.033336785211699631e-15
1.438293760970700532e+03 1.238574411850439627e-15
1.438373487677425146e+03 1.015527513831539040e-15
1.438453214384149760e+03 1.148864389746211904e-15
